,symbol,organ_name,en_organ_name,icb_name3,en_icb_name3,icb_name2,en_icb_name2,icb_name4,en_icb_name4,com_type_code,icb_code1,icb_code2,icb_code3,icb_code4
699,MTP,Công ty Cổ phần Dược Medipharco,Medipharco Pharmaceutical Joint Stock Company,Dược phẩm,Pharmaceuticals & Biotechnology,Y tế,Health Care,Dược phẩm,Pharmaceuticals,CT,4000,4500,4570,4577
700,HPW,Công ty Cổ phần Cấp nước Hải Phòng,Hai Phong Water Joint Stock Company,Nước & Khí đốt,"Gas, Water & Multi-utilities","Điện, nước & xăng dầu khí đốt",Utilities,Nước,Water,CT,7000,7500,7570,7577
701,NDP,Công ty Cổ phần Dược phẩm 2/9,National Day Pharmaceutical Joint Stock Company,Dược phẩm,Pharmaceuticals & Biotechnology,Y tế,Health Care,Dược phẩm,Pharmaceuticals,CT,4000,4500,4570,4577
702,NAG,Công ty Cổ phần Tập đoàn Nagakawa,Nagakawa Group Joint Stock Company,Điện tử & Thiết bị điện,Electronic & Electrical Equipment,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Hàng điện & điện tử,Electrical Components & Equipment,CT,2000,2700,2730,2733
703,HSI,Công ty Cổ phần Vật tư Tổng hợp và Phân bón Hóa sinh,General Materials Biochemistry Fertilizer Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",Specialty Chemicals,CT,1000,1300,1350,1357
704,NJC,Công ty Cổ phần May Nam Định,Nam Dinh Garment Joint Stock Company,Hàng cá nhân,Personal Goods,Hàng cá nhân & Gia dụng,Personal & Household Goods,Hàng May mặc,Clothing & Accessories,CT,3000,3700,3760,3763
705,NAC,Công ty Cổ phần Tư vấn Xây dựng Tổng hợp,National of General Construction Consultants Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
706,CTD,Công ty Cổ phần Xây dựng Coteccons,Coteccons Construction Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
707,NAP,Công ty Cổ phần Cảng Nghệ Tĩnh,Nghe Tinh Port Holding Joint Stock Company,Vận tải,Industrial Transportation,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,"Kho bãi, hậu cần và bảo dưỡng",Transportation Services,CT,2000,2700,2770,2777
708,MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,Mobile World Investment Corporation,Bán lẻ,General Retailers,Bán lẻ,Retail,Phân phối hàng chuyên dụng,Specialty Retailers,CT,5000,5300,5370,5379
709,M10,Tổng công ty May 10 - Công ty Cổ phần,Garment 10 Corporation - Joint Stock Company,Hàng cá nhân,Personal Goods,Hàng cá nhân & Gia dụng,Personal & Household Goods,Hàng May mặc,Clothing & Accessories,CT,3000,3700,3760,3763
