,symbol,id,type,exchange,en_organ_name,en_organ_short_name,organ_short_name,organ_name
67,VPI,8424920,STOCK,HSX,Van Phu - Invest Investment Joint Stock Company,Van Phu - Invest,Đầu tư Văn Phú - Invest,Công ty Cổ phần Đầu tư Văn Phú - Invest
68,VPH,8424707,STOCK,HSX,Van Phat Hung Corporation,Van Phat Hung,Vạn Phát Hưng,Công ty Cổ phần Vạn Phát Hưng
69,VPG,8424782,STOCK,HSX,Viet Phat Import Export Trading Investment Joint Stock Company,Viet Phat Import Export Trading Investment,Đầu tư TMại XNK Việt Phát,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát
70,VPD,8424559,STOCK,HSX,Vietnam Power Development Joint Stock Company,EVN Development,Phát triển Điện lực Việt Nam,Công ty Cổ phần Phát triển Điện lực Việt Nam
71,VPC,9679675,STOCK,UPCOM,Vietnam Power Investment and Development Joint Stock Company,V- Power,V- Power,Công ty Cổ phần Đầu tư và Phát triển Năng lượng Việt Nam
72,VPB,8424685,STOCK,HSX,Vietnam Prosperity Joint Stock Commercial Bank,VPBank,VPBank,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng
73,VPA,8425076,STOCK,UPCOM,VP Petrochemical Transport Joint Stock Company,VP Petrochemical Transport,Vận tải Hóa dầu VP,Công ty Cổ phần Vận tải Hóa dầu VP
74,VOS,8424660,STOCK,HSX,Vietnam Ocean Shipping Joint Stock Company,Vietnam Ocean Shipping,Vận tải Biển Việt Nam,Công ty Cổ phần Vận tải Biển Việt Nam
75,VOC,8425997,STOCK,UPCOM,Vietnam Vegetable Oils Industry Corporation ,Vocarimex,Dầu thực vật Việt Nam,Tổng Công ty Công nghiệp Dầu thực vật Việt Nam - Công ty Cổ phần
76,VNZ,11810379,STOCK,UPCOM,VNG Corporation,VNG CORP,CTCP VNG,Công ty Cổ phần VNG
77,VNY,8425059,STOCK,UPCOM,Vietnam Vererinary Products Joint Stock Company,Vietnam Vererinary Products,Thuốc thú y Trung ương I,Công ty Cổ phần Thuốc thú y Trung ương I
78,VNX,8426051,STOCK,UPCOM,Vietnam National Trade Fair And Advertising Company,VINEXAD,QC và Hội chợ Thương mại,Công ty Cổ phần Quảng cáo và Hội chợ Thương mại Vinexad
79,VNT421032,11411103,BOND,DELISTED,VNT421032 - Bond,VNT421032 - Bond,VNT421032 - Trái phiếu,VNT421032 - Trái phiếu
80,VNT,8426071,STOCK,HNX,The Van Cargoes and Foreign Trade Logistics Joint Stock Company,Vinatrans Hanoi,Vận tải ngoại thương,Công ty Cổ phần Giao nhận Vận tải Ngoại Thương
81,VNS,8424987,STOCK,HSX,Vietnam Sun Corporation,VINASUN,Ánh Dương Việt Nam,Công ty Cổ phần Ánh Dương Việt Nam
82,VNR,8426199,STOCK,HNX,Viet Nam National Reinsurance Corporation,Vietnam Reinsurance,Tái bảo hiểm Quốc gia,Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam
83,VNP,8426175,STOCK,UPCOM,Vietnam Plastic Corporation,Vietnam Plastic,Nhựa Việt Nam,Công ty Cổ phần Nhựa Việt Nam
84,VNM,8424928,STOCK,HSX,Vietnam Dairy Products Joint Stock Company,Vinamilk,VINAMILK,Công ty Cổ phần Sữa Việt Nam
85,VNL,8424621,STOCK,HSX,Vinalink Logistics Joint Stock Company,Vinalink Logistics,Vinalink Logistics,Công ty Cổ phần Logistics Vinalink
